x,y,actionList,predictionsList
8,9,2,"[-15.845762964072986, -15.848394385954947, -15.811378233154969]"
8,10,0,"[-16.475426864470176, -16.794802168842157, -16.508858816273214]"
8,11,2,"[-16.35564492997889, -16.45725000782994, -16.329920918438113]"
8,12,2,"[-16.304168201028833, -16.312700220737746, -16.21057859456807]"
8,13,0,"[-15.184797622971836, -15.458344608575764, -15.504123158094611]"
8,14,0,"[-14.47421868860328, -14.502721683312544, -14.545430738259741]"
8,15,0,"[-13.067038205329384, -13.17484317980896, -13.620877477401038]"
8,16,2,"[-11.668265378650235, -11.364741037088518, -10.961644005891543]"
8,17,2,"[-10.729090517777506, -10.869257750096354, -10.645763323690328]"
8,18,0,"[0.01, 0.01, 0.01]"
8,19,0,"[0.01, 0.01, 0.01]"
9,0,0,"[0.01, 0.01, 0.01]"
9,1,0,"[0.01, 0.01, 0.01]"
9,2,0,"[0.01, 0.01, 0.01]"
9,3,0,"[0.01, 0.01, 0.01]"
9,4,0,"[0.01, 0.01, 0.01]"
9,5,1,"[-5.154721469738993, 0.01, 0.01]"
9,6,0,"[-11.063740897759885, -11.09486309798599, -11.341986854341908]"
9,7,0,"[-12.539734628784492, -13.134098302829372, -12.80611253143219]"
9,8,2,"[-13.95627999443952, -13.95359341308287, -13.833813940297196]"
9,9,2,"[-14.80416031335864, -14.816822886727499, -14.745627123925972]"
9,10,0,"[-15.40244000880181, -15.50840567069623, -15.483505276249634]"
9,11,2,"[-15.795503057560968, -15.83497469135419, -15.741832738596404]"
9,12,2,"[-15.160138058864277, -15.234399739437581, -15.06528303620717]"
9,13,1,"[-13.936734472002428, -12.326844855218702, -13.229770917684128]"
9,14,1,"[-12.403215424882626, -11.329801754734707, -12.337324139772578]"
9,15,1,"[-9.304769803227792, -8.551035332828235, -8.741010009245993]"
9,16,2,"[-8.524922423955053, -5.112460813633999, 0.01]"
9,17,0,"[0.01, 0.01, 0.01]"
9,18,0,"[0.01, 0.01, 0.01]"
9,19,0,"[0.01, 0.01, 0.01]"
10,0,0,"[0.01, 0.01, 0.01]"
10,1,0,"[0.01, 0.01, 0.01]"
10,2,0,"[0.01, 0.01, 0.01]"
10,3,0,"[0.01, 0.01, 0.01]"
10,4,0,"[0.01, 0.01, 0.01]"
10,5,0,"[0.01, 0.01, 0.01]"
10,6,0,"[0.01, 0.01, 0.01]"
10,7,2,"[-9.30544219996559, -8.039531680500271, -7.994446481639657]"
10,8,0,"[-10.42133764236508, -10.607424540637822, -10.598171948600319]"
10,9,0,"[-11.551542625907336, -11.653316394269277, -11.615541180340957]"
10,10,0,"[-11.84758993465626, -12.774444460784526, -12.715887661101464]"
10,11,1,"[-12.445408154211691, -12.30845217515919, -12.353911272271894]"
10,12,2,"[-10.821507030561332, -10.521081108146191, -9.57189436085509]"
10,13,1,"[-8.477158734245691, -7.621791643289576, -8.321404744724756]"
10,14,2,"[-5.4461623873283935, -4.114720108002348, -3.956392143549359]"
10,15,2,"[-3.6999329661266893, -4.533753516126377, -1.6076742512499997]"
10,16,0,"[0.01, 0.01, 0.01]"
