x,y,actionList,predictionsList
3,9,0,"[-20.648055452797976, -20.760457219021447, -20.689544991638765]"
3,10,1,"[-20.849605620189607, -20.721948585241307, -20.76060899512212]"
3,11,1,"[-20.31996692840225, -20.27584290108331, -20.549216522097044]"
3,12,2,"[-19.609606563823487, -19.49428776881876, -19.46934952818605]"
3,13,1,"[-18.73892172360013, -18.631875283198855, -18.725364259060072]"
3,14,2,"[-16.666789270971446, -16.951371464039937, -16.563878230684278]"
3,15,1,"[-15.57263619946229, -15.456070265822301, -15.533562167617578]"
3,16,2,"[-14.627693966845714, -14.217539013674138, -13.796113664186652]"
3,17,0,"[-11.024130062743854, -11.335394601122253, -11.349826226236697]"
3,18,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
3,19,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
4,0,0,"[0.009999999999999998, 0.009999999999999998, 0.009999999999999998]"
4,1,0,"[-0.9901, -6.556644740275678, -4.939674904744086]"
4,2,1,"[-10.492990206242986, -10.43548820063368, -10.9143520146664]"
4,3,1,"[-12.949721986013145, -12.720621023139994, -12.850273502826523]"
4,4,0,"[-15.68642274306831, -15.805256589121154, -15.872995676063685]"
4,5,0,"[-17.293762953783734, -17.35856328076373, -17.520300204957184]"
4,6,0,"[-19.242118259987937, -19.66558014453186, -19.505266994786783]"
4,7,0,"[-21.075868952130556, -21.510994594761698, -21.51119783388851]"
4,8,0,"[-23.995851565725633, -24.69213442080509, -24.247385583614367]"
4,9,1,"[-26.92569033016928, -26.36189107646692, -27.339107736664268]"
4,10,2,"[-27.603771462020497, -27.574549963958933, -27.38992836458472]"
4,11,2,"[-25.68284643360245, -25.736368936503837, -25.33369865642426]"
4,12,1,"[-21.568443656215692, -21.436988584916627, -21.662395455299574]"
4,13,2,"[-20.02068255590465, -19.937620312450463, -19.85373928350186]"
4,14,1,"[-18.50652594734795, -18.461819276649234, -18.63730797485541]"
4,15,2,"[-16.30467591553956, -16.25826573859348, -16.022771293672136]"
